  0.108   0.424    2.070   2.050
  0.166   0.482    2.170   2.100
  0.126   0.428    2.170   2.040
  0.115   0.397    2.070   1.960
  0.119   0.352    2.120   2.060
  0.176   0.342    2.050   2.010
  0.155   0.434    2.100   2.030
  0.118   0.445    2.070   2.090
  0.136   0.428    2.100   2.010
  0.137   0.395    2.140   2.040
  0.124   0.354    2.120   2.030
  0.131   0.497    2.050   2.070
  0.120   0.425    2.070   2.030
  0.133   0.401    2.120   2.040
  0.067   0.363    2.160   2.100
  0.086   0.341    2.170   2.060
  0.140   0.464    2.140   2.060
  0.122   0.431    2.010   2.010
  0.105   0.405    2.020   1.990
  0.079   0.460    2.100   2.010
  0.130   0.410    2.120   2.060
  0.142   0.423    2.130   1.940
  0.120   0.310    2.160   2.110
  0.115   0.413    2.090   2.050
  0.103   0.411    2.150   2.050
  0.078   0.452    2.110   2.050
  0.093   0.405    2.110   2.040
  0.086   0.290    2.050   2.020
  0.099   0.342    2.110   2.030
  0.078   0.311    2.170   2.030
  0.095   0.327    2.110   2.030
  0.094   0.413    2.070   2.040
  0.056   0.400    2.160   1.990
  0.050   0.380    2.010   1.940
  0.065   0.371    2.210   2.050
  0.091   0.344    2.080   2.090
  0.094   0.345    2.080   2.030
  0.124   0.363    2.120   2.070
  0.153   0.392    2.030   2.090
  0.078   0.379    2.140   2.070
  0.114   0.349    2.040   2.070
  0.088   0.337    2.170   2.100
  0.165   0.235    2.090   2.040
  0.160   0.250    2.110   2.000
  0.075   0.360    2.000   2.030
  0.118   0.282    1.950   2.060
  0.100   0.257    2.140   2.120
  0.102   0.345    2.090   1.990
  0.131   0.344    2.090   2.060
  0.148   0.358    2.030   2.110
  0.137   0.322    2.070   2.020
  0.090   0.332    2.170   1.990
  0.088   0.315    2.010   2.050
  0.172   0.316    1.940   2.010
  0.111   0.341    2.080   2.060
  0.097   0.387    2.170   2.130
  0.098   0.402    2.070   2.050
  0.090   0.347    2.180   2.120
  0.127   0.414    1.960   2.000
  0.116   0.426    2.140   2.030
  0.137   0.322    2.110   2.030
  0.111   0.372    2.110   2.050
  0.107   0.381    2.100   2.000
  0.097   0.339    2.140   2.050
  0.134   0.405    2.100   2.040
  0.160   0.304    2.060   2.030
  0.147   0.439    2.130   1.990
  0.104   0.336    1.990   2.080
  0.128   0.405    2.070   2.000
  0.128   0.359    1.960   2.020
  0.165   0.379    2.020   1.980
  0.184   0.303    1.920   2.030
  0.172   0.340    1.860   1.930
  0.207   0.312    1.900   2.020
  0.221   0.291    1.890   1.960
  0.159   0.259    2.010   2.010
  0.198   0.342    1.930   2.030
