"call_id";"customer_id";"call_ts"
26;824634901;"2019/01/02 08:01:20"
310;848767976;"2019/01/02 08:19:01"
474;911004092290;"2019/01/02 08:27:46"
574;819317132;"2019/01/02 08:31:38"
625;859430357;"2019/01/02 08:33:57"
1040;827268319;"2019/01/02 08:47:05"
1436;854850393;"2019/01/02 08:59:11"
530;910052290392;"2019/01/02 08:30:00"
1220;911010805487;"2019/01/02 08:53:12"
326;926001132691;"2019/01/02 08:20:23"
488;926001157185;"2019/01/02 08:28:22"
596;911014064156;"2019/01/02 08:32:46"
652;911014064156;"2019/01/02 08:35:02"
536;863417861;"2019/01/02 08:30:07"
775;837772862;"2019/01/02 08:38:26"
863;921002676655;"2019/01/02 08:41:21"
1075;858863483;"2019/01/02 08:48:07"
1376;812956902;"2019/01/02 08:57:26"
482;853338481;"2019/01/02 08:27:57"
738;827268319;"2019/01/02 08:37:26"
2076;856470547;"2019/01/02 09:13:37"
2516;829042019;"2019/01/02 09:22:18"
2715;844624403;"2019/01/02 09:26:04"
3973;911001005261;"2019/01/02 09:48:49"
1749;911006159212;"2019/01/02 09:06:41"
2899;925000183705;"2019/01/02 09:29:07"
1821;863702353;"2019/01/02 09:08:24"
2175;912000205803;"2019/01/02 09:15:39"
3381;860101203;"2019/01/02 09:37:21"
3968;910025239005;"2019/01/02 09:48:42"
2188;806271201;"2019/01/02 09:15:58"
2770;860397900;"2019/01/02 09:26:51"
1723;859513194;"2019/01/02 09:06:13"
2890;820550069;"2019/01/02 09:28:57"
1981;943017053530;"2019/01/02 09:11:54"
2248;910046105656;"2019/01/02 09:17:10"
2464;942002015637;"2019/01/02 09:21:31"
3789;819392556;"2019/01/02 09:44:54"
4168;912004759417;"2019/01/02 09:52:07"
7093;920004205489;"2019/01/02 10:49:11"
7576;860215102;"2019/01/02 10:57:58"
4695;853387009;"2019/01/02 10:03:12"
6732;833194715;"2019/01/02 10:43:19"
7035;940005346272;"2019/01/02 10:48:14"
6151;839565967;"2019/01/02 10:31:50"
6349;940005842452;"2019/01/02 10:35:57"
6848;846708246;"2019/01/02 10:45:02"
7100;911015067521;"2019/01/02 10:49:20"
4719;860391960;"2019/01/02 10:03:47"
4772;837457431;"2019/01/02 10:04:50"
5104;857271852;"2019/01/02 10:11:46"
6752;859888216;"2019/01/02 10:43:32"
5271;914000768269;"2019/01/02 10:15:02"
5726;920003501235;"2019/01/02 10:23:43"
5804;932002094641;"2019/01/02 10:25:12"
6052;940002916424;"2019/01/02 10:29:36"
4728;808998744;"2019/01/02 10:04:03"
5368;829149145;"2019/01/02 10:16:48"
5529;911001779055;"2019/01/02 10:20:06"
5746;919000632563;"2019/01/02 10:24:06"
10529;912002311955;"2019/01/02 11:51:53"
9086;921003047625;"2019/01/02 11:26:41"
9452;858275886;"2019/01/02 11:33:32"
8745;811521418;"2019/01/02 11:20:25"
9604;861307783;"2019/01/02 11:36:04"
8836;848416624;"2019/01/02 11:22:01"
8915;810030320;"2019/01/02 11:23:29"
7747;911004814826;"2019/01/02 11:01:33"
10806;911000142040;"2019/01/02 11:56:58"
8950;823151972;"2019/01/02 11:24:08"
9720;943015971865;"2019/01/02 11:38:03"
10083;925007451337;"2019/01/02 11:44:21"
10316;860005941;"2019/01/02 11:47:56"
10672;932000902126;"2019/01/02 11:54:09"
8153;855955266;"2019/01/02 11:09:01"
10933;849410139;"2019/01/02 11:58:51"
8840;846687499;"2019/01/02 11:22:04"
9286;911012108294;"2019/01/02 11:30:32"
10171;846923589;"2019/01/02 11:45:33"
10474;818479776;"2019/01/02 11:50:53"
10861;912005763962;"2019/01/02 11:57:54"
11760;910011539699;"2019/01/02 12:15:04"
11640;849212113;"2019/01/02 12:12:47"
12205;838504736;"2019/01/02 12:24:10"
11239;821720596;"2019/01/02 12:04:10"
11940;926005315201;"2019/01/02 12:18:37"
11546;841946072;"2019/01/02 12:10:40"
11713;861183812;"2019/01/02 12:14:15"
12386;911010983722;"2019/01/02 12:27:35"
12794;938000082678;"2019/01/02 12:35:38"
13693;819668286;"2019/01/02 12:53:32"
11376;924002393610;"2019/01/02 12:07:18"
11533;911002929600;"2019/01/02 12:10:23"
11865;912004692667;"2019/01/02 12:17:05"
12188;857425896;"2019/01/02 12:23:51"
12439;910011571050;"2019/01/02 12:28:35"
12603;910043848779;"2019/01/02 12:32:07"
13630;910039075304;"2019/01/02 12:52:13"
11397;821362696;"2019/01/02 12:07:32"
13661;911004347215;"2019/01/02 12:52:52"
11082;833496722;"2019/01/02 12:01:37"
